entity1,relation,entity2
erythronium noun,hypernym,liliid monocot genus noun
chip noun,hypernym,approach noun
expert noun,hypernym,person noun
jasmine noun,hypernym,shrub noun
scatter noun,derivationally related form,spread verb
pack of cards noun,member meronym,playing card noun
rape conviction noun,synset domain topic of,law noun
salientia noun,member meronym,hylidae noun
occupation noun,synset domain topic of,military noun
flux noun,derivationally related form,blend verb
cracker noun,derivationally related form,snap verb
subjectivity noun,hypernym,judgment noun
scull verb,synset domain topic of,sport noun
trade name noun,member of domain usage,norethindrone noun
hint verb,hypernym,convey verb
save verb,hypernym,spend verb
propound verb,derivationally related form,advocate noun
genus alocasia noun,member meronym,alocasia noun
palau noun,instance hypernym,archipelago noun
censor verb,derivationally related form,censor noun
timolol noun,hypernym,beta blocker noun
united kingdom noun,member of domain region,invigilation noun
blink of an eye noun,derivationally related form,flash verb
shaking noun,derivationally related form,quiver verb
goldenbush noun,hypernym,shrub noun
europe noun,has part,european country noun
wesley noun,derivationally related form,methodist adjective
trade name noun,member of domain usage,levallorphan noun
ask verb,hypernym,give voice verb
lipemia noun,hypernym,symptom noun
convey verb,hypernym,transfer verb
dishonesty noun,hypernym,unrighteousness noun
harvester noun,derivationally related form,reap verb
crowbar noun,derivationally related form,pry verb
mendel's law noun,synset domain topic of,genetics noun
auction verb,derivationally related form,auctioneer noun
withdraw verb,derivationally related form,withdrawal noun
bat noun,hypernym,placental noun
fitting noun,derivationally related form,try on verb
dicksoniaceae noun,hypernym,fern family noun
efficacious adjective,derivationally related form,efficacy noun
anti-tnf compound noun,hypernym,drug noun
carnosaura noun,hypernym,animal order noun
concede verb,derivationally related form,cession noun
iridaceous plant noun,hypernym,bulbous plant noun
break down verb,hypernym,act verb
fulmarus noun,hypernym,bird genus noun
amalgamation noun,derivationally related form,unify verb
perisoreus noun,hypernym,bird genus noun
umbelliferae noun,member meronym,pimpinella noun
copper sulfate noun,hypernym,sulfate noun
picker noun,derivationally related form,choose verb
israeli noun,hypernym,asian noun
martes noun,hypernym,mammal genus noun
jet noun,derivationally related form,jet verb
scroll noun,hypernym,manuscript noun
spell verb,derivationally related form,significance noun
james noun,instance hypernym,criminal noun
majority opinion noun,hypernym,opinion noun
ramp verb,hypernym,supply verb
entrance verb,derivationally related form,entrancement noun
wind farm noun,hypernym,power station noun
gaze noun,derivationally related form,gaze verb
quarterback noun,synset domain topic of,football noun
scandal noun,derivationally related form,shock verb
anhimidae noun,hypernym,bird family noun
labiatae noun,member meronym,clinopodium noun
barbarize verb,verb group,barbarize verb
disaccharide noun,hypernym,oligosaccharide noun
cleanse verb,derivationally related form,cleaning noun
crane fly noun,hypernym,dipterous insect noun
replication noun,hypernym,organic process noun
seat verb,derivationally related form,seat noun
discernment noun,hypernym,perception noun
genus zinnia noun,member meronym,zinnia noun
rhineland noun,instance hypernym,geographical area noun
militarize verb,derivationally related form,mobilization noun
communication system noun,has part,radio station noun
section noun,derivationally related form,segment verb
eye noun,derivationally related form,ocular adjective
float verb,hypernym,travel verb
burn noun,hypernym,pain noun
wild cinnamon noun,has part,canella noun
ramp verb,derivationally related form,ramp noun
conjugate verb,hypernym,blend verb
russia noun,has part,urals noun
hover verb,hypernym,hesitate verb
santa ana noun,instance hypernym,city noun
catharacta noun,hypernym,bird genus noun
guide verb,verb group,run verb
miami noun,instance hypernym,city noun
panel noun,synset domain topic of,law noun
crochet verb,synset domain topic of,handicraft noun
etherify verb,hypernym,change state verb
push verb,derivationally related form,energy noun
apologize verb,derivationally related form,apology noun
team teaching noun,hypernym,education noun
go back verb,hypernym,originate verb
quandong noun,hypernym,tree noun
test verb,derivationally related form,examen noun
compositae noun,member meronym,genus zinnia noun
throat noun,has part,laryngopharynx noun
christmas noun,hypernym,feast day noun
rocket noun,has part,rocket noun
creating from raw materials noun,hypernym,creation noun
sprinkle verb,hypernym,scatter verb
alarm verb,hypernym,warn verb
mass noun,hypernym,physical property noun
canonization noun,hypernym,sanctification noun
situate verb,derivationally related form,location noun
tobacco shop noun,hypernym,shop noun
ballad noun,hypernym,poem noun
action verb,derivationally related form,litigation noun
beast noun,derivationally related form,savage verb
sensitization noun,hypernym,process noun
acceptance noun,hypernym,situation noun
memory noun,hypernym,memory device noun
differ verb,derivationally related form,different adjective
united kingdom noun,member of domain usage,french fries noun
raft verb,synset domain topic of,navigation noun
mental adjective,derivationally related form,mentality noun
abrade verb,derivationally related form,abrasion noun
interpret verb,also see,collocate with verb
fatherhood noun,hypernym,position noun
trivium noun,hypernym,humanistic discipline noun
kivu noun,instance hypernym,lake noun
xanthorroea noun,hypernym,liliid monocot genus noun
librarian noun,derivationally related form,librarianship noun
cornbread noun,hypernym,quick bread noun
commonwealth of independent states noun,member meronym,tajikistan noun
brazil noun,has part,santos noun
cone noun,has part,point noun
crocodilian reptile noun,hypernym,diapsid noun
ranunculaceae noun,member meronym,eranthis noun
embezzlement noun,derivationally related form,embezzle verb
drop verb,hypernym,deliver verb
wrestling noun,derivationally related form,wrestle verb
year noun,hypernym,time period noun
infiltration noun,derivationally related form,infiltrate verb
yaw noun,hypernym,turning noun
genus canella noun,hypernym,dilleniid dicot genus noun
pygoscelis noun,hypernym,bird genus noun
mukataa noun,hypernym,headquarters noun
citlaltepetl noun,instance hypernym,volcano noun
narrow verb,hypernym,change verb
run verb,derivationally related form,discharge noun
graduate verb,derivationally related form,commencement noun
inanimate adjective,derivationally related form,inanimateness noun
actiniaria noun,member meronym,actinia noun
vary verb,derivationally related form,variation noun
attractive adjective,synset domain topic of,physics noun
drawler noun,hypernym,speaker noun
ceratodontidae noun,hypernym,fish family noun
catalog noun,hypernym,list noun
dracocephalum noun,member meronym,dragonhead noun
rectify verb,derivationally related form,reparation noun
alpha centauri noun,instance hypernym,binary star noun
tape noun,hypernym,strip noun
give verb,verb group,sacrifice verb
symmetrical adjective,derivationally related form,symmetry noun
draw close verb,verb group,cuddle verb
telosporidia noun,member meronym,haemosporidia noun
effacement noun,hypernym,organic process noun
command noun,derivationally related form,dictate verb
ivory palm noun,has part,ivory nut noun
sweep noun,derivationally related form,sweep verb
tragulus noun,hypernym,mammal genus noun
colloquialism noun,member of domain usage,dodo noun
charm noun,derivationally related form,charm verb
ossicle noun,hypernym,bone noun
awaken verb,derivationally related form,waker noun
phyllium noun,hypernym,arthropod genus noun
orthoptera noun,member meronym,stenopelmatidae noun
emulsify verb,hypernym,change state verb
dress verb,derivationally related form,stuffing noun
outfield noun,hypernym,tract noun
yellow sea noun,instance hypernym,sea noun
anglican church noun,synset domain topic of,church service noun
nepenthaceae noun,hypernym,dicot family noun
garambulla noun,hypernym,cactus noun
tyranni noun,member meronym,dendrocolaptidae noun
reserve verb,hypernym,request verb
satisfactory adjective,derivationally related form,satisfy verb
bowdlerization noun,derivationally related form,bowdlerize verb
band aid noun,hypernym,repair noun
centimeter noun,has part,millimeter noun
collect verb,derivationally related form,pickup noun
homestead noun,hypernym,dwelling noun
hit verb,derivationally related form,hit noun
change state verb,verb group,turn verb
invalidate verb,hypernym,cancel verb
psophia noun,member meronym,trumpeter noun
fencing noun,hypernym,fight noun
power play noun,hypernym,attempt noun
plan verb,derivationally related form,plan noun
jewel noun,derivationally related form,jewelry maker noun
czar noun,derivationally related form,czarist adjective
labiatae noun,member meronym,thymus noun
exchange noun,hypernym,workplace noun
asclepiadaceae noun,member meronym,asclepias noun
germany noun,has part,siegfried line noun
chrysomelidae noun,hypernym,arthropod family noun
spy verb,hypernym,perceive verb
genus vibrio noun,hypernym,bacteria genus noun
microgram noun,hypernym,metric weight unit noun
masturbate verb,derivationally related form,masturbation noun
pallid bat noun,hypernym,vespertilian bat noun
phasianidae noun,member meronym,perdicidae noun
printer noun,hypernym,peripheral noun
motor vehicle noun,has part,fuel system noun
virtuous adjective,also see,pious adjective
append verb,derivationally related form,supplementation noun
isoetaceae noun,hypernym,fern family noun
circumcise verb,derivationally related form,circumcision noun
catch verb,hypernym,roll up verb
adult noun,hypernym,animal noun
green light noun,derivationally related form,go ahead verb
promenade noun,hypernym,walk noun
dipterocarpaceae noun,member meronym,shorea noun
reverent adjective,derivationally related form,reverence verb
backlog verb,derivationally related form,reserve noun
india noun,instance hypernym,asian country noun
egyptian adjective,derivationally related form,egyptian noun
match noun,derivationally related form,match verb
narrate verb,derivationally related form,narration noun
helotiales noun,member meronym,helotiaceae noun
wax verb,derivationally related form,waxing noun
recidivist noun,derivationally related form,lapse verb
conversationalist noun,derivationally related form,conversation noun
graze noun,derivationally related form,graze verb
mean verb,derivationally related form,meaning noun
united kingdom noun,member of domain region,point duty noun
zebrawood noun,hypernym,tree noun
effectiveness noun,hypernym,power noun
eye noun,has part,conjunctiva noun
whitewash noun,hypernym,clearing noun
watch noun,derivationally related form,tick verb
smut verb,hypernym,change verb
pretense noun,hypernym,misrepresentation noun
castle noun,hypernym,fortification noun
reprise verb,synset domain topic of,music noun
socket noun,hypernym,cavity noun
actable adjective,derivationally related form,act verb
band together verb,derivationally related form,confederation noun
slickness noun,hypernym,smoothness noun
counterbalance noun,hypernym,compensation noun
interpretation noun,hypernym,representation noun
lemonwood noun,has part,lemonwood noun
responsibility noun,hypernym,trustworthiness noun
hide verb,derivationally related form,privacy noun
pedaler noun,hypernym,rider noun
worship noun,hypernym,activity noun
ski tow noun,derivationally related form,hoist verb
rack noun,hypernym,support noun
action noun,derivationally related form,act verb
flop noun,derivationally related form,fall through verb
infrastructure noun,has part,public works noun
sentence noun,hypernym,string of words noun
stave verb,hypernym,equip verb
pennant noun,hypernym,award noun
defense noun,hypernym,collection noun
herb noun,has part,vegetable noun
naples noun,instance hypernym,port noun
coloration noun,hypernym,color noun
saunterer noun,derivationally related form,amble verb
capacitor noun,hypernym,electrical device noun
analyze verb,derivationally related form,examen noun
lasso verb,derivationally related form,lasso noun
gardenia noun,hypernym,shrub noun
drum sander noun,has part,electric motor noun
united kingdom noun,member of domain region,mot noun
voice verb,hypernym,pronounce verb
freeze verb,hypernym,change verb
harpoon noun,hypernym,spear noun
deck verb,derivationally related form,beautification noun
unlisted security noun,hypernym,security noun
shoulder verb,hypernym,raise verb
abruzzi noun,has part,aquila noun
catoptrophorus noun,hypernym,bird genus noun
genus nemophila noun,hypernym,asterid dicot genus noun
peasanthood noun,derivationally related form,peasant noun
drive noun,derivationally related form,ride verb
copout noun,hypernym,failure noun
mix verb,hypernym,compound verb
gyromitra noun,hypernym,fungus noun
acrobatics noun,hypernym,gymnastics noun
football team noun,member meronym,quarterback noun
box verb,derivationally related form,package noun
computerization noun,derivationally related form,cybernate verb
constriction noun,derivationally related form,constrict verb
united kingdom noun,member of domain region,bumf noun
united kingdom noun,member of domain region,weald noun
repress verb,hypernym,oppress verb
passiflora noun,hypernym,dilleniid dicot genus noun
color verb,derivationally related form,coloring material noun
trade name noun,member of domain usage,mexiletine noun
double-crosser noun,derivationally related form,deceive verb
judgment noun,derivationally related form,judgmental adjective
reproductive system noun,has part,reproductive cell noun
read verb,verb group,take verb
impound verb,derivationally related form,impoundment noun
electronic signal noun,hypernym,signal noun
spirochaetales noun,member meronym,spirochaetaceae noun
battle dress noun,synset domain topic of,military noun
level verb,derivationally related form,razing noun
bond verb,hypernym,unite verb
pellaea noun,member meronym,cliff brake noun
moralize verb,hypernym,reform verb
asilidae noun,hypernym,arthropod family noun
dagger noun,derivationally related form,stick verb
killer noun,derivationally related form,murder verb
rede verb,derivationally related form,adviser noun
dinoflagellata noun,member meronym,genus noctiluca noun
norwegian adjective,derivationally related form,norwegian noun
ovrette noun,hypernym,pill noun
whiner noun,derivationally related form,snivel verb
whip noun,derivationally related form,flog verb
astacidae noun,member meronym,cambarus noun
meter noun,hypernym,metric linear unit noun
mail noun,hypernym,collection noun
united states noun,has part,sunbelt noun
pronounce verb,derivationally related form,label noun
blister verb,hypernym,attack verb
theophylline noun,hypernym,bronchodilator noun
cellblock noun,has part,cell noun
gonif noun,hypernym,wrongdoer noun
enclosure noun,hypernym,area noun
cox-2 inhibitor noun,hypernym,anti-inflammatory noun
sustain verb,hypernym,have verb
ride verb,hypernym,copulate verb
depicting noun,derivationally related form,portray verb
specify verb,derivationally related form,limit noun
desmodium noun,member meronym,tick trefoil noun
skin noun,hypernym,connective tissue noun
classification noun,derivationally related form,relegate verb
crop verb,derivationally related form,browse noun
skin noun,derivationally related form,skin verb
tune verb,hypernym,adjust verb
amaryllidaceae noun,hypernym,liliid monocot family noun
sodium noun,hypernym,metallic element noun
command post noun,synset domain topic of,military noun
dasypus noun,member meronym,peba noun
blue noun,hypernym,clothing noun
equation noun,derivationally related form,compare verb
bangladesh noun,has part,dhaka noun
set verb,hypernym,lay down verb
calculus noun,hypernym,rock noun
pornography noun,derivationally related form,pornographer noun
kosciusko noun,instance hypernym,soldier noun
draw up verb,hypernym,stop verb
glory pea noun,hypernym,shrub noun
roll verb,verb group,wander verb
cackle verb,hypernym,talk verb
pound noun,hypernym,avoirdupois unit noun
discontinue verb,hypernym,end verb
investigation noun,hypernym,work noun
canoeist noun,hypernym,boatman noun
shortener noun,derivationally related form,abridge verb
hen-of-the-woods noun,hypernym,fungus noun
trademark noun,member of domain usage,alka-seltzer noun
solanum noun,hypernym,asterid dicot genus noun
urogenital system noun,has part,urinary tract noun
occupation noun,derivationally related form,take verb
administrator noun,derivationally related form,administer verb
defacement noun,hypernym,damage noun
sixties noun,hypernym,time of life noun
ambystomid noun,hypernym,salamander noun
transparent substance noun,hypernym,material noun
klutz noun,hypernym,stupid noun
heron noun,hypernym,wading bird noun
type verb,derivationally related form,typing noun
caribbean noun,has part,dominica noun
john noun,instance hypernym,saint noun
scarf verb,hypernym,wear verb
north carolina noun,has part,blue ridge mountains noun
interim noun,hypernym,time interval noun
changelessness noun,derivationally related form,immutable adjective
subphylum noun,synset domain topic of,biology noun
spread noun,derivationally related form,diffuse verb
interdiction noun,derivationally related form,forbid verb
crack noun,hypernym,opening noun
anemonella noun,hypernym,magnoliid dicot genus noun
strike verb,derivationally related form,rap noun
naturalize verb,hypernym,change verb
face noun,has part,facial noun
run noun,derivationally related form,run verb
peninsula noun,hypernym,land noun
fixation noun,hypernym,preservation noun
thuja noun,hypernym,gymnosperm genus noun
yellowish brown noun,hypernym,brown noun
united states noun,member of domain region,inch noun
dentaria noun,hypernym,dilleniid dicot genus noun
misleader noun,hypernym,leader noun
fracture verb,verb group,fracture verb
chordata noun,member meronym,urochordata noun
electrolysis noun,hypernym,decomposition noun
black catechu noun,hypernym,infusion noun
indulgence noun,hypernym,gratification noun
desynchronize verb,hypernym,change by reversal verb
fare noun,hypernym,charge noun
founder noun,derivationally related form,begin verb
decompose verb,derivationally related form,decomposition noun
prevail verb,hypernym,continue verb
lampris noun,member meronym,opah noun
hanover noun,member meronym,george noun
endorsement noun,hypernym,support noun
garnet noun,hypernym,transparent gem noun
grant noun,hypernym,right noun
education noun,derivationally related form,instructional adjective
relegate verb,derivationally related form,class noun
grounder noun,derivationally related form,ground verb
naples noun,instance hypernym,city noun
america noun,has part,south america noun
dwelling noun,derivationally related form,populate verb
infuriation noun,hypernym,anger noun
drug user noun,derivationally related form,use verb
kick back verb,hypernym,pay verb
kraut noun,hypernym,german noun
commission verb,derivationally related form,commissioner noun
juneberry noun,has part,saskatoon noun
commercial noun,hypernym,ad noun
ranunculaceae noun,member meronym,trautvetteria noun
eye noun,derivationally related form,optometrist noun
french fries noun,hypernym,potato noun
scamper noun,derivationally related form,scurry verb
chess noun,has part,chess move noun
nepal noun,has part,changtzu noun
bellbottom trousers noun,hypernym,trouser noun
run down verb,derivationally related form,sapper noun
geological phenomenon noun,synset domain topic of,geology noun
leptotyphlopidae noun,member meronym,leptotyphlops noun
unit noun,has part,part noun
berry noun,hypernym,edible fruit noun
sniffer noun,derivationally related form,sniff verb
musical performance noun,hypernym,performance noun
yellow woman noun,hypernym,woman noun
australia noun,has part,australian alps noun
press verb,derivationally related form,pressure noun
enervate verb,hypernym,weaken verb
warble verb,derivationally related form,trill noun
gilt noun,derivationally related form,gild verb
fatwah noun,hypernym,opinion noun
confirmation noun,hypernym,proof noun
promiser noun,derivationally related form,promise verb
freeware noun,hypernym,software noun
national climatic data center noun,hypernym,agency noun
idiolect noun,hypernym,speech noun
greenwich mean time noun,hypernym,time noun
division archaebacteria noun,hypernym,division noun
caprimulgiformes noun,member meronym,caprimulgidae noun
ireland noun,member of domain region,drogheda noun
limeira noun,instance hypernym,city noun
shallot noun,has part,shallot noun
antiaircraft noun,hypernym,gun noun
grok verb,derivationally related form,comprehension noun
carya noun,member meronym,mockernut noun
nausea noun,derivationally related form,sicken verb
measure noun,hypernym,abstraction noun
phalangeridae noun,member meronym,phalanger noun
detention basin noun,hypernym,river basin noun
categorize verb,derivationally related form,classification noun
evocation noun,derivationally related form,raise verb
edit verb,derivationally related form,editing noun
lasiocampidae noun,member meronym,lasiocampa noun
deactivation noun,derivationally related form,inactivate verb
flexure noun,derivationally related form,flex verb
sketch verb,derivationally related form,outline noun
dalliance noun,derivationally related form,dally verb
desorb verb,synset domain topic of,chemistry noun
chicken noun,hypernym,poultry noun
caressing noun,derivationally related form,pet verb
phoxinus noun,hypernym,fish genus noun
decay verb,hypernym,change verb
act verb,derivationally related form,act noun
steel mill noun,has part,bessemer converter noun
carbonate verb,derivationally related form,carbonate noun
massachusetts noun,has part,worcester noun
manure noun,derivationally related form,manure verb
military capability noun,synset domain topic of,military noun
pyrolaceae noun,hypernym,dilleniid dicot family noun
crispen verb,hypernym,heat verb
jump verb,derivationally related form,bounder noun
carpentry noun,hypernym,trade noun
shallow verb,derivationally related form,shoal noun
haemodoraceae noun,member meronym,anigozanthus noun
johnson noun,instance hypernym,lexicographer noun
construct verb,verb group,build verb
xyridales noun,member meronym,commelinaceae noun
weave verb,verb group,wander verb
genus pteropogon noun,hypernym,asterid dicot genus noun
rester noun,hypernym,person noun
stringybark noun,hypernym,eucalyptus noun
factory noun,has part,shop floor noun
lund noun,instance hypernym,city noun
localize verb,derivationally related form,focalization noun
bulwark verb,derivationally related form,rampart noun
blow verb,derivationally related form,electric fan noun
concave adjective,similar to,cupular satellite adjective
swing verb,hypernym,move back and forth verb
fractionation noun,hypernym,industrial process noun
expressive style noun,derivationally related form,hairdresser noun
prop up verb,derivationally related form,prop noun
destalinize verb,hypernym,transform verb
breeding noun,derivationally related form,foster verb
fishing noun,hypernym,outdoor sport noun
jewish rye bread noun,hypernym,rye bread noun
sciaenidae noun,member meronym,micropogonias noun
protoplasm noun,hypernym,substance noun
enlarge verb,derivationally related form,expansion noun
notch verb,hypernym,record verb
ritual noun,has part,ritual dancing noun
abrogation noun,derivationally related form,revoke verb
raise verb,hypernym,raise verb
petal noun,hypernym,floral leaf noun
strikeout noun,synset domain topic of,baseball noun
tagger noun,hypernym,person noun
knock on noun,synset domain topic of,rugby noun
turkey noun,has part,euphrates noun
ascomycota noun,hypernym,division noun
guitar noun,derivationally related form,guitarist noun
revolutionary proletarian nucleus noun,synset domain topic of,terrorism noun
oscines noun,member meronym,parulidae noun
put verb,also see,follow through verb
sin verb,derivationally related form,sinner noun
bail verb,derivationally related form,bail noun
twist verb,derivationally related form,sophism noun
gasteromycetes noun,member meronym,gasteromycete noun
exteriorize verb,derivationally related form,objectification noun
surgery noun,hypernym,room noun
hemorrhagic stroke noun,hypernym,bleeding noun
labiatae noun,member meronym,agastache noun
defender noun,derivationally related form,guardianship noun
drum sander noun,hypernym,power tool noun
gymnadeniopsis noun,hypernym,monocot genus noun
prenatal diagnosis noun,hypernym,diagnostic procedure noun
opening noun,hypernym,space noun
north atlantic treaty organization noun,member meronym,italy noun
communicativeness noun,derivationally related form,communicative adjective
ohio noun,has part,columbus noun
thread noun,derivationally related form,string verb
english channel noun,instance hypernym,channel noun
islamic great eastern raiders-front noun,synset domain topic of,terrorism noun
distillate noun,derivationally related form,condense verb
tarnish noun,derivationally related form,tarnish verb
leap noun,derivationally related form,saltate verb
devour verb,derivationally related form,hog noun
hebrew alphabet noun,member meronym,lamedh noun
lepidoptera noun,member meronym,noctuidae noun
exposure noun,hypernym,photography noun
galilee noun,instance hypernym,geographical area noun
grouch verb,derivationally related form,scold noun
introjection noun,synset domain topic of,psychoanalysis noun
warm-up noun,derivationally related form,limber up verb
obviation noun,hypernym,prevention noun
mix noun,hypernym,combination noun
sura noun,hypernym,section noun
compositae noun,member meronym,genus filago noun
natural science noun,hypernym,science noun
cool verb,derivationally related form,cooling noun
cacodylic adjective,derivationally related form,cacodyl noun
climactic adjective,derivationally related form,climax noun
ergosterol noun,hypernym,sterol noun
myrtales noun,member meronym,haloragidaceae noun
liriodendron noun,member meronym,tulip tree noun
executive noun,hypernym,administration noun
nepal noun,has part,everest noun
introduction noun,hypernym,section noun
lividness noun,derivationally related form,pale verb
vertical adjective,derivationally related form,orthogonality noun
scallop verb,derivationally related form,scallop noun
phase of the moon noun,hypernym,time period noun
dish noun,derivationally related form,serve verb
determination noun,derivationally related form,detect verb
canidae noun,hypernym,mammal family noun
hour noun,has part,half-hour noun
address noun,hypernym,code noun
snap noun,derivationally related form,snap verb
rastafari noun,synset domain topic of,jamaica noun
compress verb,derivationally related form,press noun
log verb,derivationally related form,lumberman noun
decoration noun,hypernym,award noun
domesticate verb,hypernym,adapt verb
stylophorum noun,hypernym,dilleniid dicot genus noun
shift noun,derivationally related form,stir verb
social scientist noun,derivationally related form,social science noun
leach verb,hypernym,remove verb
coupon noun,hypernym,commercial document noun
upright noun,derivationally related form,erect adjective
decode verb,derivationally related form,decoder noun
borage noun,hypernym,herb noun
pressure noun,derivationally related form,pressurize verb
clot verb,derivationally related form,curdling noun
fractional monetary unit noun,hypernym,monetary unit noun
sum up verb,derivationally related form,summarization noun
fix verb,derivationally related form,set noun
galveston bay noun,instance hypernym,bay noun
centrism noun,derivationally related form,centrist noun
spiritual being noun,hypernym,belief noun
rattlesnake noun,has part,rattle noun
courtesy noun,hypernym,manner noun
four o'clock noun,hypernym,flower noun
ranales noun,member meronym,menispermaceae noun
pot noun,derivationally related form,smoke verb
bridle noun,derivationally related form,bridle verb
assume verb,derivationally related form,coup d'etat noun
memory noun,derivationally related form,memorize verb
admit verb,verb group,admit verb
expose noun,derivationally related form,debunk verb
soup noun,hypernym,dish noun
sheet metal noun,hypernym,sheet noun
news noun,hypernym,information noun
gypsy moth noun,hypernym,lymantriid noun
curtain noun,hypernym,blind noun
drive verb,also see,rout out verb
rotate verb,derivationally related form,rotatory adjective
medicine noun,synset domain topic of,medicine noun
arm verb,derivationally related form,armament noun
newman noun,instance hypernym,archpriest noun
embezzle verb,derivationally related form,embezzlement noun
dishearten verb,hypernym,discourage verb
liliales noun,member meronym,hypoxidaceae noun
cut verb,hypernym,switch verb
vessel noun,has part,brim noun
compensation noun,derivationally related form,compensate verb
tender verb,hypernym,change verb
pteridophyta noun,member meronym,fern family noun
gulping noun,hypernym,drinking noun
quarter verb,derivationally related form,one-fourth noun
deceive verb,derivationally related form,double-crosser noun
fluster verb,derivationally related form,perturbation noun
close verb,verb group,close verb
govern verb,derivationally related form,ruler noun
depolarize verb,synset domain topic of,physics noun
heart noun,has part,coronary artery noun
arm verb,derivationally related form,armor noun
whiten verb,hypernym,discolor verb
raise verb,hypernym,reach verb
lord verb,hypernym,ennoble verb
quarter noun,hypernym,city district noun
sick benefit noun,hypernym,benefit noun
presiding officer noun,hypernym,leader noun
surface noun,derivationally related form,surface verb
labiatae noun,member meronym,hyssopus noun
october noun,hypernym,gregorian calendar month noun
crown noun,hypernym,jewelled headdress noun
smooth sumac noun,hypernym,sumac noun
bring verb,hypernym,change verb
sheathing noun,hypernym,protective covering noun
hear verb,hypernym,perceive verb
criticism noun,derivationally related form,review verb
wats noun,hypernym,telephone line noun
house noun,hypernym,family noun
assumption noun,derivationally related form,assume verb
consecration noun,hypernym,sanctification noun
pervert verb,derivationally related form,perversion noun
pass noun,synset domain topic of,military noun
elaphurus noun,hypernym,mammal genus noun
humiliate verb,derivationally related form,chagrin noun
give verb,derivationally related form,give noun
computer scientist noun,hypernym,scientist noun
chorus noun,hypernym,line noun
politics noun,derivationally related form,politician noun
jumble verb,derivationally related form,patchwork noun
iguanidae noun,hypernym,reptile family noun
trellis noun,hypernym,lattice noun
spiritize verb,derivationally related form,spirit noun
mirabilis noun,member meronym,four o'clock noun
maturation noun,derivationally related form,mature verb
packer noun,hypernym,workman noun
addressee noun,derivationally related form,address verb
delegate verb,derivationally related form,delegating noun
scrophulariaceae noun,member meronym,chelone noun
spheniscidae noun,member meronym,pygoscelis noun
execration noun,derivationally related form,abhor verb
pass verb,hypernym,advance verb
spadefoot noun,hypernym,frog noun
excite verb,derivationally related form,energy noun
kogia noun,hypernym,mammal genus noun
abortionist noun,hypernym,doctor noun
wheeze verb,hypernym,breathe verb
fact noun,hypernym,information noun
reorganization noun,derivationally related form,reorganize verb
cohabitation noun,hypernym,inhabitancy noun
revision noun,derivationally related form,revise verb
bang noun,hypernym,hairdo noun
animal material noun,hypernym,material noun
rain noun,derivationally related form,pelt verb
cost verb,hypernym,be verb
womanhood noun,hypernym,position noun
smith noun,instance hypernym,sculptor noun
pulse verb,derivationally related form,pulsation noun
maraud verb,derivationally related form,foray noun
gramineae noun,member meronym,zizania noun
depilation noun,hypernym,cleaning noun
lower respiratory tract noun,hypernym,respiratory tract noun
rape verb,derivationally related form,spoil noun
horizontal tail noun,has part,horizontal stabilizer noun
maniraptora noun,hypernym,animal order noun
embezzler noun,hypernym,thief noun
impart verb,verb group,give verb
arrogator noun,derivationally related form,assume verb
reorganization noun,derivationally related form,reorganize verb
synentognathi noun,hypernym,animal order noun
corporate executive noun,hypernym,executive noun
groundsel tree noun,hypernym,shrub noun
awareness noun,derivationally related form,mindful adjective
pongidae noun,member meronym,pongo noun
berlin noun,instance hypernym,national capital noun
lilium noun,hypernym,liliid monocot genus noun
smallpox noun,hypernym,pox noun
visualize verb,derivationally related form,visualizer noun
carbon noun,derivationally related form,carbonize verb
petromyzon noun,hypernym,fish genus noun
khanate noun,hypernym,position noun
attendant noun,derivationally related form,tend verb
agglomerate verb,derivationally related form,pile noun
declare verb,derivationally related form,declaration noun
boast verb,derivationally related form,vaunt noun
knock cold verb,derivationally related form,knockout noun
cebidae noun,member meronym,cebus noun
robbery noun,hypernym,larceny noun
malone noun,instance hypernym,scholar noun
dorotheanthus noun,hypernym,caryophylloid dicot genus noun
hawaiian noun,hypernym,oceanic noun
deterioration noun,derivationally related form,worsen verb
orator noun,derivationally related form,orate verb
lebanon noun,member of domain region,palestine liberation front noun
caulophyllum noun,member meronym,blue cohosh noun
spread noun,derivationally related form,circulate verb
english civil war noun,instance hypernym,civil war noun
cape canaveral noun,instance hypernym,promontory noun
telecast verb,derivationally related form,television noun
refer verb,hypernym,classify verb
hymenoptera noun,member meronym,tenthredinidae noun
exhibitionist noun,hypernym,compulsive noun
kanchenjunga noun,instance hypernym,mountain peak noun
diptera noun,hypernym,animal order noun
economy noun,derivationally related form,economist noun
address verb,synset domain topic of,computer science noun
escort verb,derivationally related form,date noun
relaxer noun,derivationally related form,relax verb
heat noun,derivationally related form,heat verb
araneae noun,member meronym,theraphosidae noun
chlorococcales noun,hypernym,protoctist order noun
inside noun,hypernym,region noun
e-mail verb,hypernym,telecommunicate verb
exert verb,hypernym,use verb
notice noun,derivationally related form,detect verb
trichechidae noun,member meronym,trichechus noun
rationalism noun,hypernym,doctrine noun
duplicate verb,derivationally related form,repetition noun
flagellate noun,derivationally related form,flagellate adjective
conic adjective,derivationally related form,conic section noun
decline noun,hypernym,decrease noun
preservation noun,hypernym,organic process noun
effective adjective,also see,potent adjective
poison gas noun,hypernym,gas noun
commandership noun,derivationally related form,air force officer noun
attalea noun,member meronym,piassava palm noun
relief noun,synset domain topic of,law noun
pummel verb,derivationally related form,punch noun
